Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close
2025-01-26,104713.21,105438.65,102507.71,102682.50,43516.25,44428.34,42567.46,43546.54
2025-01-25,104824.03,105243.79,104120.38,104714.65,43481.44,44393.46,42533.57,43513.16
2025-01-24,103965.67,107098.55,102772.13,104819.48,43445.95,44358.70,42497.95,43478.34
2025-01-23,103657.67,106820.33,101257.80,103960.17,43408.61,44321.58,42461.38,43442.85
2025-01-22,106136.38,106294.34,103360.27,103653.07,43372.22,44283.42,42425.39,43405.53
2025-01-21,102052.58,107180.92,100103.95,106146.27,43335.49,44248.40,42389.07,43369.18
2025-01-20,101083.75,109114.88,99471.36,102016.66,43301.54,44211.84,42355.76,43332.46
2025-01-19,104411.29,106299.80,99570.53,101089.61,43270.41,44175.66,42323.48,43298.54
2025-01-18,104124.95,104913.20,102226.62,104408.07,43237.48,44141.71,42292.37,43267.42
2025-01-17,100025.77,105884.23,99948.91,104462.04,43204.77,44109.65,42260.93,43234.49
2025-01-16,100505.30,100781.59,97364.45,99756.91,43174.66,44076.52,42230.00,43201.56
2025-01-15,96534.05,100697.23,96501.64,100504.49,43144.93,44047.47,42199.21,43171.63
2025-01-14,94519.01,97352.66,94322.16,96534.05,43116.57,44017.66,42169.22,43141.90
2025-01-13,94488.89,95837.00,89260.10,94516.52,43088.95,43988.73,42140.11,43113.52
2025-01-12,94565.73,95367.54,93712.51,94488.44,43063.78,43963.51,42115.91,43085.95
2025-01-11,94700.84,94977.69,93840.05,94566.59,43039.97,43939.39,42091.34,43060.82
2025-01-10,92494.49,95770.61,92250.09,94701.45,43013.28,43915.61,42064.45,43037.02
2025-01-09,95043.48,95349.72,91220.84,92484.04,42988.52,43888.63,42038.12,43010.32
2025-01-08,96924.16,97258.32,92525.84,95043.52,42960.60,43862.02,42011.88,42985.55
2025-01-07,102248.85,102712.48,96132.88,96922.70,42930.53,43833.45,41983.86,42957.66
2025-01-06,98314.95,102482.88,97926.15,102078.09,42894.83,43799.24,41952.32,42927.60
2025-01-05,98233.91,98813.30,97291.77,98314.96,42861.16,43763.40,41917.74,42892.00
2025-01-04,98106.99,98734.43,97562.98,98236.23,42825.93,43729.52,41883.19,42858.36
2025-01-03,96881.73,98956.91,96034.62,98107.43,42790.78,43694.10,41847.25,42823.12
2025-01-02,94416.29,97739.82,94201.57,96886.88,42756.25,43658.70,41811.91,42787.99
