Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close,200_WMA_Dollar_1_Day,200_WMA_Percent_1_Day,Price_Change_Dollar_200_Week,Price_Change_Percent_200_Week,Price_Change_Dollar_Same_Day_Swing,Price_Change_Percent_Same_Day_Swing,Price_Change_Dollar_1_Day,Price_Change_Percent_1_Day
2024-12-12,101167.80,102524.91,99339.95,100043.00,42034.21,42936.07,41088.65,42068.58,37.24,0.09,52133.67,108.82,3184.96,3.2,-1130.03,-1.12
2024-12-11,96656.06,101913.36,95747.23,101173.03,41994.02,42897.45,41049.26,42031.34,40.18,0.10,56254.85,125.24,6166.13,6.1,4497.60,4.65
2024-12-10,97441.23,98270.16,94321.26,96675.43,41958.16,42858.33,41012.21,41991.16,35.86,0.09,50194.32,107.99,3948.90,4.1,-757.29,-0.78
2024-12-09,101237.06,101272.51,94355.91,97432.72,41921.55,42822.43,40977.10,41955.30,36.59,0.09,51236.25,110.91,6916.59,7.1,-3803.30,-3.76
2024-12-08,99921.91,101399.99,98771.52,101236.02,41877.02,42783.09,40936.91,41918.71,44.52,0.11,62332.57,160.22,2628.48,2.6,1312.68,1.31
2024-12-07,99916.71,100563.38,99030.88,99923.34,41833.68,42738.96,40893.11,41874.19,43.33,0.10,60657.32,154.48,1532.50,1.5,2.62,0.00
2024-12-06,97074.23,102039.88,96514.88,99920.71,41789.55,42696.30,40849.61,41830.86,44.12,0.11,61776.40,161.95,5525.01,5.5,3327.14,3.44
2024-12-05,98741.54,103900.47,91998.78,96593.57,41746.60,42650.71,40806.86,41786.74,42.62,0.10,59667.50,161.59,11901.69,12.3,-2174.96,-2.20
2024-12-04,95988.53,99207.33,94660.52,98768.53,41702.84,42604.07,40767.09,41744.12,43.78,0.10,61296.44,163.58,4546.80,4.6,2766.37,2.88
2024-12-03,95854.59,96297.20,93629.56,96002.16,41659.64,42559.97,40724.79,41700.34,43.21,0.10,60491.88,170.35,2667.64,2.8,136.86,0.14
2024-12-02,97276.01,98152.60,94482.87,95865.30,41615.13,42516.83,40681.82,41657.13,44.52,0.11,62328.13,185.85,3669.73,3.8,-1414.48,-1.45
2024-12-01,96461.34,97888.12,95770.19,97279.79,41569.30,42471.46,40637.47,41612.61,45.83,0.11,64165.43,193.77,2117.94,2.2,830.73,0.86
2024-11-30,97468.81,97499.34,96144.22,96449.05,41524.88,42426.04,40592.12,41566.78,44.41,0.11,62179.53,181.44,1355.12,1.4,-1012.47,-1.04
2024-11-29,95653.95,98693.17,95407.88,97461.52,41479.75,42381.28,40546.97,41522.37,45.11,0.11,63145.14,184.01,3285.29,3.4,1809.05,1.89
2024-11-28,95954.95,96650.20,94677.35,95652.47,41435.94,42338.22,40501.72,41477.26,44.41,0.11,62186.37,185.82,1972.85,2.1,-310.06,-0.32
2024-11-27,91978.14,97361.18,91778.66,95962.53,41389.15,42293.37,40455.54,41432.85,46.81,0.11,65529.98,215.33,5582.52,5.8,3977.21,4.32
2024-11-26,93087.28,94991.75,90770.81,91985.32,41346.71,42247.09,40410.96,41386.04,42.44,0.10,59415.47,182.42,4220.94,4.6,-1116.98,-1.20
2024-11-25,98033.45,98935.03,92642.91,93102.30,41303.33,42202.66,40368.29,41343.60,43.38,0.11,60735.91,187.65,6292.12,6.8,-4911.52,-5.01
2024-11-24,97778.09,98647.18,95788.08,98013.82,41256.37,42156.85,40325.04,41300.22,46.95,0.11,65724.44,203.55,2859.10,2.9,236.54,0.24
2024-11-23,99006.74,99014.68,97232.89,97777.28,41209.43,42109.91,40278.84,41253.27,46.93,0.11,65709.64,204.91,1781.79,1.8,-1220.38,-1.23
2024-11-22,98496.43,99655.50,97222.66,98997.66,41162.27,42063.02,40231.88,41206.34,47.14,0.11,65991.91,199.94,2432.84,2.5,492.94,0.50
2024-11-21,94334.64,99014.22,94132.60,98504.73,41113.93,42015.99,40183.12,41159.20,48.34,0.12,67679.03,219.55,4881.62,5.0,4165.23,4.42
2024-11-20,92341.89,94902.02,91619.50,94339.49,41071.93,41970.65,40137.49,41110.86,42.00,0.10,58791.74,165.39,3282.52,3.5,1995.70,2.16
2024-11-19,90536.81,94002.87,90426.98,92343.79,41031.73,41928.86,40096.03,41068.86,40.20,0.10,56273.98,156.01,3575.88,3.9,1801.15,1.99
